raceID,raceDay,raceClass,racePlace,raceNumber,name,type,distance
202408100701,20240810,未勝利,新潟,1R,2歳未勝利,芝,1800
202408100702,20240810,未勝利,新潟,2R,3歳未勝利,ダート,1200
202408100703,20240810,未勝利,新潟,3R,3歳未勝利,芝,2400
202408100704,20240810,未勝利,新潟,4R,3歳未勝利,ダート,1800
202408100705,20240810,新馬,新潟,5R,2歳新馬,芝,1800
202408100706,20240810,新馬,新潟,6R,2歳新馬,芝,1400
202408100707,20240810,未勝利,新潟,7R,3歳未勝利,芝,1000
202408100708,20240810,1勝,新潟,8R,3歳以上1勝クラス,ダート,1800
202408100709,20240810,2勝,新潟,9R,浦佐特別,ダート,1200
202408100710,20240810,2勝,新潟,10R,新発田城特別,芝,1400
202408100711,20240810,オープン,新潟,11R,BSN賞（L）,ダート,1800
202408100712,20240810,1勝,新潟,12R,3歳以上1勝クラス,芝,1400
202408100501,20240810,未勝利,中京,1R,障害3歳以上未勝利,障害,3000
202408100502,20240810,未勝利,中京,2R,2歳未勝利,ダート,1200
202408100503,20240810,未勝利,中京,3R,3歳未勝利,ダート,1800
202408100504,20240810,オープン,中京,4R,障害3歳以上オープン,障害,3300
202408100505,20240810,新馬,中京,5R,2歳新馬,芝,1200
202408100506,20240810,未勝利,中京,6R,3歳未勝利,ダート,1800
202408100507,20240810,未勝利,中京,7R,3歳未勝利,芝,1200
202408100508,20240810,1勝,中京,8R,3歳以上1勝クラス,ダート,1800
202408100509,20240810,2勝,中京,9R,木曽川特別,芝,2000
202408100510,20240810,2勝,中京,10R,日進特別,ダート,1800
202408100511,20240810,3勝,中京,11R,関ケ原ステークス,芝,2000
202408100512,20240810,1勝,中京,12R,3歳以上1勝クラス,ダート,1400
202408100901,20240810,未勝利,札幌,1R,2歳未勝利,芝,1800
202408100902,20240810,未勝利,札幌,2R,3歳未勝利,ダート,1700
202408100903,20240810,未勝利,札幌,3R,3歳未勝利,ダート,1000
202408100904,20240810,未勝利,札幌,4R,3歳未勝利,ダート,1700
202408100905,20240810,新馬,札幌,5R,2歳新馬,芝,1500
202408100906,20240810,未勝利,札幌,6R,3歳未勝利,芝,2000
202408100907,20240810,1勝,札幌,7R,3歳以上1勝クラス,ダート,1000
202408100908,20240810,1勝,札幌,8R,3歳以上1勝クラス,芝,2600
202408100909,20240810,1勝,札幌,9R,石狩特別,芝,1800
202408100910,20240810,2勝,札幌,10R,日高特別,芝,1500
202408100911,20240810,3勝,札幌,11R,報知杯 大雪ハンデキャップ,ダート,1700
202408100912,20240810,1勝,札幌,12R,3歳以上1勝クラス,芝,1200
202408110701,20240811,未勝利,新潟,1R,障害3歳以上未勝利,障害,2850
202408110702,20240811,未勝利,新潟,2R,3歳未勝利,ダート,1800
202408110703,20240811,未勝利,新潟,3R,2歳未勝利,芝,1400
202408110704,20240811,未勝利,新潟,4R,3歳未勝利,ダート,1200
202408110705,20240811,新馬,新潟,5R,2歳新馬,芝,1600
202408110706,20240811,未勝利,新潟,6R,3歳未勝利,芝,1800
202408110707,20240811,1勝,新潟,7R,3歳以上1勝クラス,芝,2000
202408110708,20240811,1勝,新潟,8R,3歳以上1勝クラス,ダート,1800
202408110709,20240811,2勝,新潟,9R,三面川特別,芝,1800
202408110710,20240811,3勝,新潟,10R,稲妻ステークス,芝,1000
202408110711,20240811,GⅢ,新潟,11R,第59回 関屋記念,芝,1600
202408110712,20240811,1勝,新潟,12R,3歳以上1勝クラス,ダート,1200
202408110501,20240811,未勝利,中京,1R,2歳未勝利,芝,1600
202408110502,20240811,未勝利,中京,2R,3歳未勝利,ダート,1200
202408110503,20240811,未勝利,中京,3R,3歳未勝利,芝,2000
202408110504,20240811,未勝利,中京,4R,3歳未勝利,ダート,1900
202408110505,20240811,新馬,中京,5R,2歳新馬,芝,2000
202408110506,20240811,未勝利,中京,6R,3歳未勝利,ダート,1400
202408110507,20240811,1勝,中京,7R,3歳以上1勝クラス,芝,2000
